Job	Race	Income	GPA
0	3	39.693	2.53
0	3	45.250	1.99
0	3	45.688	3.83
0	3	46.927	1.99
1	3	47.436	3.21
0	3	47.382	3.33
0	3	47.169	3.36
0	3	48.381	3.91
0	3	48.948	3.13
0	3	48.092	3.28
0	3	48.139	3.02
0	3	48.856	3.89
0	3	48.480	1.63
1	3	48.557	1.80
0	3	48.406	3.34
1	3	48.572	3.94
0	3	48.756	2.15
0	3	49.449	1.57
1	3	49.780	3.06
0	3	49.805	2.68
0	3	50.940	2.64
0	3	53.010	3.12
0	3	53.481	3.20
0	3	54.493	1.65
0	3	54.008	2.60
0	3	54.802	3.73
0	3	56.165	3.55
0	3	55.769	2.36
0	3	56.193	2.32
0	3	56.985	3.85
0	3	56.431	1.97
0	3	56.457	2.98
0	3	59.647	3.49
0	3	60.105	3.81
1	3	61.413	3.91
1	3	62.178	3.07
1	3	61.990	1.92
1	3	63.013	2.63
0	3	63.292	2.78
1	3	63.301	2.80
0	3	63.717	1.52
0	3	63.797	2.09
0	3	65.194	2.49
0	3	66.986	3.03
0	3	67.301	1.70
2	3	68.195	2.14
0	3	69.272	3.89
0	3	68.672	2.74
1	3	79.859	2.89
1	3	90.387	2.39
0	2	45.914	2.91
0	2	49.757	2.09
0	2	49.730	3.33
0	2	50.716	2.29
0	2	51.928	3.87
0	2	52.192	1.66
0	2	51.622	3.03
0	2	52.445	2.17
0	2	53.073	2.83
0	2	54.185	3.74
0	2	54.090	1.97
1	2	54.168	3.01
0	2	54.947	2.85
1	2	55.245	2.96
1	2	57.766	1.76
0	2	58.587	1.56
0	2	57.809	2.32
0	2	58.519	1.91
0	2	58.927	3.79
0	2	59.156	3.71
0	2	59.759	2.56
0	2	59.520	3.70
2	2	59.074	3.39
0	2	58.900	2.76
0	2	60.227	2.61
3	2	60.654	1.51
2	2	60.769	3.19
2	2	60.271	1.97
1	2	60.016	3.04
0	2	61.446	1.66
2	2	62.053	1.98
0	2	61.336	3.65
0	2	61.991	2.40
2	2	61.889	3.07
0	2	63.259	1.54
0	2	62.914	2.79
1	2	63.650	3.64
0	2	64.376	2.00
1	2	63.875	2.28
2	2	63.658	3.27
0	2	64.160	3.75
1	2	65.065	2.96
0	2	65.129	1.77
1	2	65.747	3.67
1	2	65.269	3.74
0	2	65.221	3.26
2	2	65.081	1.89
0	2	66.455	3.48
0	2	66.682	2.69
1	2	67.329	1.92
0	2	67.479	1.69
1	2	68.821	3.50
0	2	69.129	1.93
0	2	68.468	1.65
1	2	68.855	1.72
0	2	69.351	2.10
3	2	68.700	2.99
3	2	68.462	3.37
3	2	70.363	3.52
0	2	69.950	2.93
1	2	69.893	3.40
1	2	70.968	3.39
0	2	70.895	2.91
1	2	72.956	2.11
3	2	72.016	3.40
1	2	72.191	2.53
1	2	74.068	1.52
1	2	73.950	2.93
5	2	73.402	1.83
1	2	73.960	2.44
1	2	74.131	3.13
0	2	75.359	3.77
4	2	75.281	3.46
0	2	74.698	3.02
2	2	74.777	2.71
0	2	76.569	3.52
1	2	75.909	3.63
1	2	76.123	3.55
2	2	76.482	2.41
3	2	77.050	1.64
1	2	77.313	2.15
3	2	77.653	1.95
0	2	77.332	3.00
1	2	77.169	3.09
2	2	78.314	2.81
3	2	78.348	1.62
1	2	78.199	3.79
2	2	80.111	3.26
0	2	80.015	2.85
1	2	79.328	2.36
5	2	80.693	3.90
2	2	81.323	2.73
1	2	82.262	1.64
6	2	83.602	3.99
5	2	83.042	2.78
4	2	84.603	2.77
2	2	86.180	3.70
5	2	85.504	3.83
2	2	85.637	2.04
1	2	85.433	2.28
2	2	86.663	3.08
2	2	86.618	2.01
5	2	87.128	3.26
3	2	87.663	1.78
1	2	90.936	1.54
0	1	42.207	1.89
0	1	47.681	3.91
0	1	47.754	2.51
0	1	50.009	3.24
0	1	49.991	2.66
0	1	50.484	1.93
0	1	51.135	2.74
0	1	50.804	2.93
1	1	50.998	3.20
0	1	50.528	2.12
0	1	52.320	2.70
0	1	51.707	3.90
0	1	51.799	3.97
1	1	53.275	2.05
0	1	54.908	3.60
1	1	55.799	2.62
0	1	56.199	3.26
0	1	55.436	2.92
0	1	55.675	2.02
0	1	57.609	1.65
0	1	59.246	2.69
0	1	58.980	2.35
0	1	59.799	3.84
0	1	60.100	3.48
0	1	62.853	3.91
0	1	65.253	3.71
0	1	65.581	3.59
0	1	65.038	3.03
0	1	66.605	3.12
1	1	66.521	3.07
0	1	68.123	2.23
0	1	67.564	2.78
1	1	67.807	2.09
0	1	68.640	2.88
0	1	68.836	2.77
0	1	68.783	3.00
0	1	68.824	3.58
1	1	69.920	2.81
1	1	70.370	3.99
0	1	70.544	1.50
0	1	72.637	3.96
1	1	72.511	1.56
1	1	73.827	2.30
1	1	73.200	1.63
1	1	75.841	3.96
