Sex	person	child	Inc	count
1	6	0	102.632	8
1	1	0	101.796	0
1	2	0	95.721	149
1	3	0	95.716	1
1	6	0	95.671	6
0	1	0	95.664	3
1	6	0	95.084	11
1	6	0	94.721	4
1	4	0	94.487	3
1	1	0	92.674	0
1	1	0	92.413	1
0	3	0	91.793	0
1	1	0	91.781	7
1	4	0	90.586	2
0	1	0	90.504	0
1	4	1	90.396	4
1	1	0	90.205	0
1	3	0	89.732	2
1	3	0	89.630	2
1	3	0	89.415	0
1	1	0	89.290	1
1	3	0	88.618	1
1	1	0	88.206	0
1	3	0	88.174	0
0	4	0	86.916	9
1	6	0	86.761	1
1	4	0	86.541	5
1	4	0	86.293	15
1	4	0	86.063	2
1	4	0	85.786	10
1	3	0	85.480	32
0	6	0	85.168	6
0	1	0	85.145	0
1	4	0	84.962	0
1	1	0	84.691	21
1	1	0	84.653	0
0	3	0	83.986	9
1	6	0	83.557	32
0	3	0	83.449	2
1	3	0	83.242	0
1	4	0	83.080	6
0	3	0	82.990	0
1	1	0	82.772	0
1	4	0	82.687	7
1	3	0	82.663	0
1	1	0	82.652	4
1	1	0	82.630	1
0	1	0	82.441	1
0	3	0	82.210	1
1	1	0	82.055	2
1	4	0	81.590	6
1	1	0	81.583	1
1	1	0	81.410	3
1	1	0	81.330	0
1	3	0	81.245	1
1	1	0	81.226	0
1	3	1	80.953	0
0	3	0	80.796	0
1	1	0	80.738	0
1	1	0	80.607	3
1	1	0	80.459	1
1	3	0	80.154	2
1	1	0	80.116	0
1	1	0	79.381	0
1	3	0	79.318	3
1	6	0	78.928	5
0	6	0	78.269	5
1	3	0	77.609	0
1	1	0	77.461	0
1	1	0	77.188	2
0	3	0	76.567	1
1	6	0	76.566	13
1	1	0	76.301	0
1	1	0	76.290	4
1	1	0	76.238	1
1	1	0	76.008	0
0	4	0	75.913	1
1	3	1	75.709	0
0	1	0	75.532	1
1	3	1	75.373	4
1	3	0	75.155	22
1	4	0	74.782	5
1	3	1	74.699	0
1	4	0	74.513	30
1	1	0	74.068	0
0	6	0	73.939	2
1	1	0	73.939	1
1	3	1	73.751	2
1	1	0	73.623	65
1	6	1	73.612	1
1	1	0	73.515	0
0	4	0	73.155	0
0	1	0	73.058	0
0	3	0	72.972	3
1	1	0	72.968	21
0	3	0	72.940	2
1	3	0	72.875	1
1	3	1	72.698	0
1	6	1	72.612	5
1	6	1	72.445	7
1	1	0	71.893	38
0	1	0	71.772	0
0	1	0	71.118	1
0	3	0	70.836	2
0	3	0	70.578	0
0	3	0	70.022	0
0	1	0	70.017	3
1	4	0	69.721	0
1	1	0	69.579	0
1	6	1	69.501	16
1	3	0	69.490	2
1	3	0	69.278	4
0	1	0	69.218	0
1	1	0	69.134	0
0	6	0	68.602	29
0	4	0	68.295	2
0	6	0	68.246	5
1	1	0	67.721	0
1	1	0	67.610	0
0	6	1	67.328	2
1	1	0	67.148	0
0	3	1	67.017	31
1	3	1	66.773	0
1	3	1	66.270	5
0	1	0	66.115	0
1	3	1	65.987	2
0	1	0	65.831	0
1	6	2	65.738	5
0	1	0	65.277	1
0	4	0	63.784	15
0	1	0	63.473	0
0	4	0	63.392	0
1	3	1	63.034	0
1	3	1	62.847	1
0	1	0	62.799	0
0	1	0	62.571	0
0	1	0	62.461	0
0	1	0	61.846	0
1	6	1	61.766	5
0	1	0	61.525	0
0	1	0	61.459	0
1	3	1	61.413	0
0	3	0	60.890	0
0	1	0	60.808	0
1	6	1	60.315	3
0	3	1	60.234	1
0	4	0	60.051	2
0	6	1	60.019	1
0	3	1	59.265	2
1	6	1	59.218	8
1	4	1	59.084	3
0	4	0	58.891	5
0	4	1	58.811	0
1	3	1	58.385	0
1	3	1	58.134	1
0	3	1	57.617	0
0	3	1	57.472	0
1	3	1	57.057	0
0	3	1	56.795	1
1	3	0	56.608	0
1	4	1	56.094	1
1	3	1	55.968	0
1	6	1	55.899	3
0	3	0	55.685	0
0	3	0	55.579	0
1	3	1	55.215	0
0	3	0	55.114	2
0	4	1	54.515	1
1	3	1	53.985	0
1	3	1	53.578	1
0	3	0	53.494	0
1	4	1	53.361	0
0	3	1	53.358	0
1	6	2	52.925	0
1	3	1	52.919	0
0	6	0	52.779	2
1	4	1	52.670	1
0	6	1	52.580	3
0	6	1	52.318	0
0	3	1	51.649	0
1	4	1	51.516	0
1	6	1	51.334	3
1	4	2	50.547	1
1	4	1	49.850	0
0	3	1	49.355	0
0	3	1	48.741	0
1	4	1	48.454	0
1	3	1	47.146	0
0	6	1	47.104	0
1	6	2	46.836	1
1	3	1	45.429	0
1	6	1	45.270	14
1	4	1	44.987	0
1	4	2	44.726	0
1	4	1	44.689	0
0	4	1	44.315	0
0	6	1	44.096	0
0	3	1	43.796	0
1	4	2	42.809	0
0	6	2	42.656	0
0	4	1	42.189	0
0	1	0	41.623	0
1	3	1	41.099	0
0	4	1	40.748	0
0	6	1	40.668	0
1	6	1	40.659	0
1	4	2	40.472	0
1	6	2	40.228	0
0	3	1	39.418	0
1	4	2	39.402	0
0	6	2	39.319	0
0	3	1	39.212	0
0	6	2	38.202	0
0	4	2	38.157	0
1	4	1	37.313	0
1	4	2	37.056	0
1	4	2	36.445	0
1	6	2	36.137	0
1	4	2	35.284	0
0	6	1	34.493	0
1	4	2	34.044	0
0	6	2	33.452	0
0	6	1	33.286	0
0	6	2	33.033	0
0	4	1	32.923	0
0	6	2	32.561	0
0	4	2	32.339	0
1	4	2	32.301	0
1	6	3	31.790	0
0	6	2	31.067	0
1	6	3	30.526	0
0	6	1	29.300	0
0	4	2	29.135	0
0	6	2	28.608	0
0	4	2	28.599	0
0	6	2	28.157	0
1	4	2	27.757	0
1	4	2	27.473	0
0	4	1	26.020	0
0	4	2	25.369	0
1	6	3	20.566	0
0	6	3	17.675	0
0	6	2	16.757	0
1	6	3	15.307	0
1	6	3	13.858	0
0	6	2	12.699	0
0	6	3	11.760	0
0	6	3	9.648	0
0	6	3	5.491	0
1	6	3	3.741	0
